rank_composite,name,organizer,category_slug,official_url,grade_band,region_scope,cost,participation,entry_pathway,likely_recurrence,search_volume_score,coverage_score,deadline_proximity_score,notes
4.1,National Academic Quiz Tournaments (NAQT) HSNCT,NAQT,academic-bowl,https://www.naqt.com,9-12,national,paid,team,school_or_chapter,annual,4,5,3,"High School National Championship quiz bowl; URL AUDIT: 403 bot-block, not a bad URL - manual entry"
4.1,United States Academic Decathlon,USAD,academic-bowl,https://www.usad.org,9-12,national,paid,team,school_or_chapter,annual,4,5,3,Ten-event team academic competition; URL AUDIT: no working program page found (every /competition* path 404s) - needs a human
4.1,National YoungArts Foundation,National YoungArts Foundation,arts-music,https://youngarts.org/competition,10-12,national,paid,individual,individual,annual,4,5,3,National arts awards across disciplines
4.1,DECA International Career Development Conference,DECA Inc.,business-entrepreneurship,https://www.deca.org/compete,9-12,national,paid,both,school_or_chapter,annual,4,5,3,Marketing/business CTSO championship
4.1,FBLA National Leadership Conference,Future Business Leaders of America,business-entrepreneurship,https://www.fbla.org/high-school/competitive-events,6-12,national,paid,both,school_or_chapter,annual,4,5,3,Business CTSO competitive events
4.1,National High School Mock Trial Championship,National High School Mock Trial,debate-speech,https://www.nationalmocktrial.org/rules/rules-competition,9-12,national,paid,team,school_or_chapter,annual,4,5,3,State-champion mock trial finals
4.1,National History Day,National History Day,history-geography-civics,https://nhd.org/en/contest/national-contest,6-12,national,paid,both,school_or_chapter,annual,4,5,3,Historical research project competition
4.1,Math Olympiads for Elementary and Middle Schools (MOEMS),MOEMS,math,https://www.moems.org/pages/contests-tournaments,4-8,national,paid,team,school_or_chapter,annual,4,5,3,Monthly school-based olympiad set
4.1,Math Prize for Girls,AoPS Initiative / Advantage Testing,math,https://mathprize.atfoundation.org/apply,9-12,national,free,individual,individual,annual,4,5,3,Largest math prize for girls; Oct
4.1,3M Young Scientist Challenge,3M / Discovery Education,science-engineering,https://www.youngscientistlab.com,5-8,national,free,individual,individual,annual,4,5,3,Middle-school video-entry invention; URL AUDIT: /annual-challenge subpages 403 - needs a human
4.1,National Science Bowl,U.S. Department of Energy,science-engineering,https://science.osti.gov/wdts/nsb,6-12,national,free,team,school_or_chapter,annual,4,5,3,Buzzer science quiz; regional->national
4.1,Thermo Fisher Scientific Junior Innovators Challenge,Society for Science,science-engineering,https://www.societyforscience.org/jic,6-8,national,free,individual,school_or_chapter,annual,4,5,3,Middle-school STEM (formerly Broadcom MASTERS)
4.1,UIL Academics,University Interscholastic League,academic-bowl,https://www.uiltexas.org/academics,2-12,state,paid,both,school_or_chapter,annual,4,5,3,Texas flagship league; ~30 HS events plus 20 A+ events
4.0,Doodle for Google,Google,arts-music,https://doodles.google.com/intl/ALL_in/d4g/rules/,K-12,national,free,individual,either,annual,4,4,4,National student doodle contest
4.0,FFA Career Development Events,National FFA Organization,other,https://www.ffa.org/participate/cdes/,7-12,national,paid,both,school_or_chapter,annual,4,4,4,Agriscience career events; nationals at October convention
4.0,CSPA Crown & Gold Circle Awards,Columbia Scholastic Press Association,arts-music,https://precollege.sps.columbia.edu/columbia-scholastic-press-association,6-12,national,paid,both,school_or_chapter,annual,3,5,5,Columbia-run student press awards; Aug 31 deadline
4.0,JEA National Student Media Contests,Journalism Education Association,arts-music,https://jea.org/contests/,9-12,national,paid,individual,school_or_chapter,annual,3,5,5,50 categories; tied to fall and spring conventions
4.0,America's Battle of the Books,America's Battle of the Books,academic-bowl,https://www.battleofthebooks.org,3-12,national,paid,team,either,annual,4,4,4,National reading-quiz program; local through state battles; URL AUDIT: no page with real competition detail found - needs a human
3.9,Breakthrough Junior Challenge,Breakthrough Prize Foundation,science-engineering,https://breakthroughjuniorchallenge.org/enter,7-12,virtual,free,individual,individual,annual,4,3,5,2-minute science video; $250k scholarship; May-Sep window
3.9,International Thespian Excellence Awards (Thespys),Educational Theatre Association,arts-music,https://schooltheatre.org/thespys,9-12,national,paid,both,school_or_chapter,annual,4,5,2,Marquee HS theatre honor; performance and tech categories
3.8,Lincoln-Douglas Debate,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,9-12,national,paid,individual,school_or_chapter,annual,4,4,3,One-on-one values debate
3.8,Public Forum Debate,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,9-12,national,paid,team,school_or_chapter,annual,4,4,3,Two-person current-events debate
3.8,AIME (American Invitational Mathematics Exam),Mathematical Association of America,math,https://maa.org/student-programs/amc,9-12,national,paid,individual,school_or_chapter,annual,4,4,3,Invitational round after AMC
3.8,American Regions Mathematics League (ARML),ARML,math,https://www.arml.com,9-12,national,paid,team,school_or_chapter,annual,4,4,3,"Team relay competition, June; URL AUDIT: site structure unfetchable, all guessed paths 404 - needs a human"
3.8,Harvard-MIT Mathematics Tournament (HMMT),HMMT,math,https://www.hmmt.org/www/tournaments/novfeb,9-12,national,paid,team,school_or_chapter,annual,4,4,3,"Elite invitational, Nov & Feb"
3.8,National Merit Scholarship Program,NMSC,other,https://www.nationalmerit.org,11-11,national,paid,individual,school_or_chapter,annual,4,4,3,PSAT/NMSQT-based scholarship; URL AUDIT: every path redirect-loops against our fetcher - manual entry
3.8,Diamond Challenge,"Horn Entrepreneurship, University of Delaware",business-entrepreneurship,https://diamondchallenge.org/competition,9-12,national,free,team,either,annual,3,5,4,High-school entrepreneurship pitch
3.8,Technovation Girls,Technovation,computer-science,https://www.technovation.org,5-12,national,free,team,either,annual,3,5,4,Girls app + AI entrepreneurship; URL AUDIT: robots.txt disallows crawling - never extract; curate by hand or ask the organizer
3.8,picoCTF,Carnegie Mellon University,computer-science,https://picoctf.org,6-12,national,free,both,either,annual,3,5,4,Capture-the-flag cybersecurity; URL AUDIT: subpages 403 behind Cloudflare - root is the only readable page
3.8,National Civics Bee,U.S. Chamber of Commerce Foundation,history-geography-civics,https://www.civicsbee.org,6-8,national,free,individual,school_or_chapter,annual,3,5,4,Middle-school civics competition; URL AUDIT: content moved to civics.uschamberfoundation.org but is equally thin - needs a human
3.8,The New York Times Learning Network Contests,The New York Times,writing-essay,https://www.nytimes.com/spotlight/learning-contests,6-12,national,free,individual,individual,rolling,3,5,4,Editorial/review/essay contests year-round
3.8,TSA National Conference Competitive Events,Technology Student Association,other,https://tsaweb.org/competitions,6-12,national,paid,both,school_or_chapter,annual,3,5,4,40 HS and 37 MS events; state-to-national
3.8,STN Nationals & Challenges,Student Television Network,arts-music,https://www.studenttelevision.com/nationals,6-12,national,paid,team,school_or_chapter,annual,3,5,4,Premier HS broadcast and film contests; convention plus virtual
3.7,Greenhill Fall Classic,Greenhill School,debate-speech,https://greenhill.tabroom.com,9-12,national,paid,team,school_or_chapter,annual,3,4,5,Season opener; TOC octos bids; September
3.6,USA(J)MO,Mathematical Association of America,math,https://maa.org/student-programs/amc,9-12,national,free,individual,school_or_chapter,annual,4,4,2,"Olympiad proof round, invite-only"
3.6,Destination Imagination,Destination Imagination,other,https://www.destinationimagination.org/challenge-experience,K-12,national,paid,team,school_or_chapter,annual,3,5,3,STEAM creativity team challenge
3.6,Odyssey of the Mind,Odyssey of the Mind,other,https://odysseyofthemind.com/program-guide,K-12,national,paid,team,school_or_chapter,annual,3,5,3,Creative problem-solving team competition
3.6,National Latin Exam,American Classical League / NJCL,academic-bowl,https://www.nle.org/registration,6-12,national,paid,individual,school_or_chapter,annual,3,5,3,Multi-level Latin exam; homeschool option; March window
3.6,National Spanish Examinations,AATSP,academic-bowl,https://www.nationalspanishexam.org,6-12,national,paid,individual,school_or_chapter,annual,3,5,3,Largest US Spanish exam; elementary Challenge variant
3.6,Le Grand Concours (National French Contest),AATF,academic-bowl,https://frenchteachers.org/concours/,1-12,national,paid,individual,school_or_chapter,annual,3,5,3,FLES plus secondary levels; Feb-Apr window
3.6,NSPA Pacemaker & Individual Awards,National Scholastic Press Association,arts-music,https://studentpress.org/nspa/,6-12,national,paid,both,school_or_chapter,annual,3,5,3,Top scholastic journalism honor; Pacemaker awards
3.6,Quill and Scroll Writing Visual Multimedia Contest,Quill and Scroll Society,arts-music,https://quillandscroll.org/contests/,9-12,national,paid,individual,school_or_chapter,annual,3,5,3,54 journalism categories; published work required
3.5,Bands of America Grand National Championships,Music for All,arts-music,https://marching.musicforall.org/grandnationals,9-12,national,paid,team,school_or_chapter,annual,3,4,4,"Marching-band championship, Lucas Oil Stadium"
3.5,MLH high school hackathons (Local Hack Day),Major League Hacking,computer-science,https://mlh.io,9-12,national,free,both,individual,rolling,3,4,4,Student hackathon network
3.5,NCWIT Aspirations in Computing,National Center for Women & Information Technology,computer-science,https://www.aspirations.org,9-12,national,free,individual,individual,annual,3,4,4,Award recognizing young women in computing
3.5,Purple Comet! Math Meet,Purple Comet,math,https://purplecomet.org,6-12,national,free,team,school_or_chapter,annual,3,4,4,Free online team meet; April
3.5,USA Mathematical Talent Search (USAMTS),Art of Problem Solving Initiative,math,https://www.usamts.org,6-12,national,free,individual,individual,annual,3,4,4,Free proof-based; month-long rounds; AIME qualifier
3.5,FIRST LEGO League Explore,FIRST,robotics,https://www.firstinspires.org/robotics/fll/explore,1-4,national,paid,team,school_or_chapter,annual,3,4,4,Early-elementary robotics
3.5,VEX IQ Robotics Competition,REC Foundation,robotics,https://www.vexrobotics.com/iq/competition,4-8,national,paid,team,school_or_chapter,annual,3,4,4,Elementary/middle robot league
3.5,C-SPAN StudentCam,C-SPAN,writing-essay,https://www.studentcam.org,6-12,national,free,both,individual,annual,3,4,4,Documentary competition; Jan deadline
3.5,John F. Kennedy Profile in Courage Essay Contest,JFK Library Foundation,writing-essay,https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest,9-12,national,free,individual,individual,annual,3,4,4,Political-courage essay; Jan deadline
3.5,FFA Agriscience Fair,National FFA Organization,science-engineering,https://www.ffa.org/participate/awards/agriscience-fair/,7-12,national,paid,both,school_or_chapter,annual,3,4,4,Six divisions x six categories; members only
3.5,TMSCA Math Contests,Texas Math and Science Coaches Association,math,https://www.tmsca.org,6-12,state,paid,both,school_or_chapter,annual,3,4,4,Number sense; calculator; math tests; huge Texas circuit
3.5,Princeton Model Congress,American Whig-Cliosophic Society,debate-speech,https://princetonmodelcongress.com,9-12,national,paid,team,school_or_chapter,annual,3,4,4,Oldest US model congress; November in DC
3.5,Student World Impact Film Festival (SWIFF),SWIFF,arts-music,https://www.swiff.org,6-12,virtual,free,both,individual,annual,3,4,4,Large fee-free student film festival; FilmFreeway entry
3.4,MATHCOUNTS National Math Club,MATHCOUNTS Foundation,math,https://www.mathcounts.org/programs/national-math-club,6-8,national,free,team,school_or_chapter,annual,3,3,5,"Club program, year-round"
3.4,MUNUC (Model United Nations of the University of Chicago),University of Chicago,debate-speech,https://munuc.org,9-12,national,paid,team,school_or_chapter,annual,3,3,5,3000-delegate Chicago conference; financial aid offered
3.4,Write the World Monthly Competitions,Write the World,writing-essay,https://writetheworld.org,7-12,virtual,free,individual,individual,rolling,3,3,5,New genre each month; professional judges; ages 13-19
3.3,NAQT Middle School National Championship (MSNCT),NAQT,academic-bowl,https://www.naqt.com,6-8,national,paid,team,school_or_chapter,annual,3,4,3,Middle-school quiz bowl nationals
3.3,PACE National Scholastic Championship (NSC),PACE,academic-bowl,https://www.pace-nsc.org,9-12,national,paid,team,school_or_chapter,annual,3,4,3,Pyramidal quiz-bowl championship
3.3,Congressional Art Competition,U.S. House of Representatives,arts-music,https://www.house.gov/educators-and-students/congressional-art-competition,9-12,national,free,individual,individual,annual,3,4,3,District art contest; Capitol display
3.3,Essentially Ellington High School Jazz Competition,Jazz at Lincoln Center,arts-music,https://academy.jazz.org/ee,9-12,national,free,team,school_or_chapter,annual,3,4,3,Top HS jazz-band competition
3.3,Music Teachers National Association (MTNA) Competitions,MTNA,arts-music,https://www.mtna.org/competitions,5-12,national,paid,individual,individual,annual,3,4,3,Piano/strings/voice performance
3.3,NAfME All-National Honor Ensembles,National Association for Music Education,arts-music,https://nafme.org/programs/all-national-honor-ensembles,9-12,national,paid,individual,school_or_chapter,annual,3,4,3,Auditioned national honor ensembles
3.3,PTA Reflections Program,National PTA,arts-music,https://www.pta.org/home/programs/reflections,K-12,national,free,individual,school_or_chapter,annual,3,4,3,Multi-arts program by theme
3.3,Business Professionals of America (BPA) NLC,Business Professionals of America,business-entrepreneurship,https://bpa.org,6-12,national,paid,both,school_or_chapter,annual,3,4,3,Business/IT CTSO competition
3.3,FCCLA National Leadership Conference,"Family, Career and Community Leaders of America",business-entrepreneurship,https://fcclainc.org,6-12,national,paid,both,school_or_chapter,annual,3,4,3,Family/consumer-science CTSO events
3.3,JA Titan,Junior Achievement USA,business-entrepreneurship,https://jausa.ja.org/programs/ja-titan,9-12,national,free,team,school_or_chapter,annual,3,4,3,CEO business simulation; national challenge
3.3,National Economics Challenge,Council for Economic Education,business-entrepreneurship,https://www.councilforeconed.org/national-economics-challenge,9-12,national,paid,team,school_or_chapter,annual,3,4,3,Economics knowledge competition
3.3,National ProStart Invitational,National Restaurant Association Educational Foundation,business-entrepreneurship,https://chooserestaurants.org/events/national-prostart-invitational,9-12,national,paid,team,school_or_chapter,annual,3,4,3,Restaurant management + culinary; scholarships
3.3,SkillsUSA Championships,SkillsUSA,business-entrepreneurship,https://www.skillsusa.org,9-12,national,paid,both,school_or_chapter,annual,3,4,3,Trade/technical/leadership CTSO events
3.3,The Stock Market Game,SIFMA Foundation,business-entrepreneurship,https://www.stockmarketgame.org,4-12,national,paid,team,school_or_chapter,annual,3,4,3,Investing simulation
3.3,Wharton Global Youth Investment Competition,"Wharton School, U. Penn",business-entrepreneurship,https://globalyouth.wharton.upenn.edu,9-12,national,free,team,school_or_chapter,annual,3,4,3,Simulated portfolio investing
3.3,American Computer Science League (ACSL),ACSL,computer-science,https://www.acsl.org,3-12,national,paid,both,school_or_chapter,annual,3,4,3,CS theory + programming contests
3.3,Congressional Debate,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,9-12,national,paid,individual,school_or_chapter,annual,3,4,3,Legislative simulation debate
3.3,National High School Model United Nations (NHSMUN),IMUNA,debate-speech,https://www.imuna.org/nhsmun,9-12,national,paid,both,school_or_chapter,annual,3,4,3,"Large Model UN conference, NYC"
3.3,Policy (Cross-Examination) Debate,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,9-12,national,paid,team,school_or_chapter,annual,3,4,3,Two-person evidence-heavy debate
3.3,Cayley/Pascal/Fermat (CEMC) US sittings,University of Waterloo CEMC,math,https://www.cemc.uwaterloo.ca/contests,7-12,national,paid,individual,school_or_chapter,annual,3,4,3,Waterloo contests offered at US schools
3.3,Continental Mathematics League,Continental Mathematics League,math,https://www.continentalmathematicsleague.com,2-12,national,paid,team,school_or_chapter,annual,3,4,3,Multi-meet league
3.3,Math League,Math League Press,math,https://www.mathleague.com,4-12,national,paid,both,school_or_chapter,annual,3,4,3,Contests and tournaments
3.3,MathWorks Math Modeling (M3) Challenge,SIAM,math,https://m3challenge.siam.org,11-12,national,free,team,school_or_chapter,annual,3,4,3,Applied math modeling; scholarships
3.3,Noetic Learning Math Contest,Noetic Learning,math,https://www.noetic-learning.com/mathcontest,2-8,national,paid,individual,school_or_chapter,annual,3,4,3,Elementary/middle problem-solving
3.3,Davidson Fellows Scholarship,Davidson Institute,other,https://www.davidsongifted.org/fellows-scholarship,K-12,national,free,individual,individual,annual,3,4,3,"Significant-work scholarship, any field"
3.3,Samsung Solve for Tomorrow,Samsung,other,https://www.samsung.com/us/solvefortomorrow,6-12,national,free,team,school_or_chapter,annual,3,4,3,STEM social-impact challenge
3.3,US Chess National K-12 / Grade Championships,US Chess Federation,other,https://new.uschess.org,K-12,national,paid,both,either,annual,3,4,3,Scholastic chess national championships
3.3,Conrad Challenge,Conrad Foundation,science-engineering,https://conrad.spacecenter.org,9-12,national,free,team,either,annual,3,4,3,Innovation & entrepreneurship in STEM
3.3,Envirothon,National Conservation Foundation,science-engineering,https://envirothon.org,9-12,national,free,team,school_or_chapter,annual,3,4,3,Environmental natural-resources contest
3.3,Future City Competition,DiscoverE,science-engineering,https://futurecity.org,6-8,national,paid,team,school_or_chapter,annual,3,4,3,Engineering city-design project
3.3,Genius Olympiad,Terra Science and Education,science-engineering,https://www.geniusolympiad.org,9-12,national,paid,both,either,annual,3,4,3,"Environmental-focused, multi-discipline"
3.3,HOSA-Future Health Professionals,HOSA,science-engineering,https://hosa.org,6-12,national,paid,both,school_or_chapter,annual,3,4,3,Health-science CTSO; 60+ competitive events
3.3,NASA Human Exploration Rover Challenge,NASA Marshall Space Flight Center,science-engineering,https://www.nasa.gov/learning-resources/nasa-human-exploration-rover-challenge,6-12,national,free,team,school_or_chapter,annual,3,4,3,Design/build human-powered rover; Huntsville finals
3.3,Team America Rocketry Challenge (TARC),AIA / NAR,science-engineering,https://rocketcontest.org,6-12,national,paid,team,school_or_chapter,annual,3,4,3,World's largest rocketry contest
3.3,Toshiba/NSTA ExploraVision,Toshiba / NSTA,science-engineering,https://www.exploravision.org,K-12,national,free,team,school_or_chapter,annual,3,4,3,Future-technology projection contest
3.3,U.S. National Chemistry Olympiad (USNCO),American Chemical Society,science-engineering,https://www.acs.org/education/students/highschool/olympiad.html,9-12,national,free,individual,school_or_chapter,annual,3,4,3,Chemistry olympiad; local->national
3.3,U.S. Physics Olympiad (USAPhO),American Association of Physics Teachers,science-engineering,https://www.aapt.org/physicsteam,9-12,national,free,individual,school_or_chapter,annual,3,4,3,Physics olympiad; F=ma qualifier
3.3,USA Biology Olympiad (USABO),Center for Excellence in Education,science-engineering,https://www.usabo-trc.org,9-12,national,free,individual,school_or_chapter,annual,3,4,3,Biology olympiad pipeline; Feb open exam
3.3,eCYBERMISSION,U.S. Army / NSTA,science-engineering,https://www.ecybermission.com,6-9,national,free,team,school_or_chapter,annual,3,4,3,Web-based STEM problem-solving
3.3,John Locke Institute Essay Competition,John Locke Institute,writing-essay,https://www.johnlockeinstitute.com/essay-competition,6-12,national,free,individual,individual,annual,3,4,3,Global; under-19; ten subject categories
3.3,Poetry Out Loud,National Endowment for the Arts,writing-essay,https://www.poetryoutloud.org,9-12,national,free,individual,school_or_chapter,annual,3,4,3,Recitation contest; school-to-national finals
3.3,YoungArts (Writing disciplines),National YoungArts Foundation,writing-essay,https://youngarts.org/competition,10-12,national,paid,individual,individual,annual,3,4,3,National arts awards incl. writing
3.3,National Beta Club Convention Competitions,National Beta Club,other,https://www.betaclub.org/national-convention-info/,4-12,national,paid,both,school_or_chapter,annual,3,4,3,Elementary/Junior/Senior divisions; qualify via state
3.3,MIT THINK Scholars Program,MIT TechX,science-engineering,https://think.mit.edu,9-12,virtual,free,both,individual,annual,3,4,3,Research proposal contest; funding plus MIT mentorship
3.3,Exeter Math Club Competition (EMCC),Phillips Exeter Academy Math Club,math,https://exetermathclub.com/contest,K-8,national,unknown,team,either,annual,3,4,3,Prestigious middle-school contest; January at Exeter
3.3,August Wilson New Voices Monologue Competition,True Colors Theatre,arts-music,https://truecolorstheatre.org/august-wilson-monologue-competition/,9-12,national,free,individual,individual,annual,3,4,3,~12 cities; regional winners to national finals
3.3,Educators Rising National Conference Competitions,Educators Rising (PDK International),other,https://educatorsrising.org/conference-competitions/,6-12,national,paid,both,school_or_chapter,annual,3,4,3,Future-teacher CTSO; state events feed June nationals
3.2,LifeSmarts,National Consumers League,business-entrepreneurship,https://lifesmarts.org,6-12,national,free,team,school_or_chapter,annual,2,4,5,Consumer-literacy quiz; season launches Sept
3.2,Math Open at Andover (MOAA),Phillips Academy Andover math club,math,https://andovermathopen.com,K-8,national,unknown,team,either,annual,2,4,5,Hybrid in-person plus virtual; fall date
3.2,Princeton Model United Nations Conference (PMUNC),Princeton International Relations Council,debate-speech,https://www.princetonirc.com/pmunc,9-12,national,paid,team,school_or_chapter,annual,3,3,4,Fall flagship; 1000-plus delegates; November
3.2,Boston Invitational Model United Nations (BosMUN),Boston University International Affairs Association,debate-speech,https://www.bosmun.org,9-12,national,paid,team,school_or_chapter,annual,3,3,4,2800-plus delegates; February at Copley hotels
3.2,Stanford Model United Nations Conference (SMUNC),Society for International Affairs at Stanford,debate-speech,https://smunc.org,9-12,national,paid,team,either,annual,3,3,4,November at Stanford; individuals with advisor allowed
3.2,New York City Invitational Debate and Speech Tournament,Bronx High School of Science,debate-speech,https://nyc.tabroom.com,9-12,national,paid,team,school_or_chapter,annual,3,3,4,Full speech and debate slate; October
3.2,Vocabulary Bowl,Vocabulary.com (IXL Learning),academic-bowl,https://www.vocabulary.com/bowl/,K-12,virtual,paid,team,school_or_chapter,annual,3,3,4,Online word-mastery leaderboard championship; fall and spring seasons
3.1,National German Exam,AATG,academic-bowl,https://www.nge.aatg.org,9-12,national,paid,individual,school_or_chapter,annual,2,5,3,Registration opens Oct; Title 1 grants available
3.1,National Italian Exam,AATI,academic-bowl,https://www.nationalitalianexam.org,6-12,national,paid,individual,school_or_chapter,annual,2,5,3,Medals and scholarships; spring exam
3.1,NSS Gerard K. O'Neill Space Settlement Contest,National Space Society,science-engineering,https://nss.org/nss-space-settlement-contest/,6-12,virtual,free,both,individual,annual,3,4,2,Space settlement design papers; ISDC showcase; Feb deadline
3.1,Mustang Math Tournament (MMT),Mustang Math,math,https://www.mustangmath.com/MMT2026,6-8,national,paid,team,either,annual,3,4,2,All-team format; multiple state sites; fee waivers
3.1,Stanford Invitational (speech & debate),Stanford University,debate-speech,https://stanford.tabroom.com,9-12,national,paid,team,school_or_chapter,annual,3,4,2,Online national tournament each February; TOC bids
3.1,Sala and Aron Samueli Holocaust Art & Writing Contest,Chapman University,writing-essay,https://www.chapman.edu/research/institutes-and-centers/holocaust-education/holocaust-art-and-writing-contest/index.aspx,6-12,national,free,individual,school_or_chapter,annual,3,4,2,Respond to survivor testimony; prose poetry art film
3.0,Harvard Model United Nations,Harvard International Relations Council,debate-speech,https://www.harvardmun.org,9-12,national,paid,team,school_or_chapter,annual,3,3,3,"Harvard-run MUN conference, Boston, January"
3.0,Harvard National Forensics Tournament,Harvard University,debate-speech,https://www.hnft.org,9-12,national,paid,both,school_or_chapter,annual,3,3,3,Major national invitational
3.0,National Speech & Debate Season / Original Oratory,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,9-12,national,paid,individual,school_or_chapter,annual,3,3,3,Individual speaking event
3.0,Tournament of Champions (Debate),University of Kentucky,debate-speech,https://www.tournamentofchampions.org,9-12,national,paid,both,school_or_chapter,annual,3,3,3,Elite bid tournament
3.0,Berkeley Math Tournament (BMT),UC Berkeley,math,https://bmt.berkeley.edu,6-12,national,paid,team,school_or_chapter,annual,3,3,3,University-hosted tournament
3.0,Carnegie Mellon Informatics and Mathematics Competition (CMIMC),Carnegie Mellon University,math,https://cmimc.ai,9-12,national,paid,team,school_or_chapter,annual,3,3,3,Math + CS invitational
3.0,Mu Alpha Theta National Convention,Mu Alpha Theta,math,https://mualphatheta.org,9-12,national,paid,both,school_or_chapter,annual,3,3,3,Honor-society national math event
3.0,Princeton University Mathematics Competition (PUMaC),Princeton University,math,https://pumac.princeton.edu,9-12,national,paid,team,school_or_chapter,annual,3,3,3,University-hosted invitational
3.0,Stanford Math Tournament (SMT),Stanford University,math,https://sumo.stanford.edu/smt,9-12,national,paid,team,school_or_chapter,annual,3,3,3,University invitational
3.0,NASA Student Launch,NASA,science-engineering,https://www.nasa.gov/learning-resources/nasa-student-launch/,6-12,national,free,team,school_or_chapter,annual,3,3,3,High-power rocketry; qualify via TARC/Rockets for Schools
3.0,NFTE World Series of Innovation,Network for Teaching Entrepreneurship,business-entrepreneurship,https://www.nfte.com/world-series-of-innovation,6-12,national,free,both,either,annual,2,4,4,Innovation challenges tied to goals
3.0,Coolest Projects,Raspberry Pi Foundation,computer-science,https://coolestprojects.org,K-12,national,free,both,either,annual,2,4,4,"Tech creation showcase, ages 7-18"
3.0,Hack Club / Scrapyard hackathons,Hack Club,computer-science,https://hackclub.com,6-12,national,free,both,either,rolling,2,4,4,Student-run hackathon network
3.0,World Scholar's Cup,World Scholar's Cup,other,https://www.scholarscup.org,5-12,national,paid,team,either,annual,2,4,4,"Team academic tournament, multi-subject"
