rank,name,category,verdict,requested_url,final_url,redirected_to_root,competition_signals,homepage_signals,problem
14,FIRST LEGO League Challenge,robotics,PROGRAM,https://www.firstinspires.org/programs/fll/get-started,https://www.firstinspires.org/programs/fll/get-started,,registration fee grade-band plausible-year,donate careers annual-report,
15,FIRST Tech Challenge (FTC),robotics,PROGRAM,https://www.firstinspires.org/programs/ftc/get-started,https://www.firstinspires.org/programs/ftc/get-started,,registration fee grade-band plausible-year,donate careers annual-report,
16,VEX Robotics Competition (V5RC),robotics,THIN,https://www.vexrobotics.com/competition,https://www.vexrobotics.com/competition,,grade-band plausible-year,careers,
17,National Academic Quiz Tournaments (NAQT) HSNCT,academic-bowl,UNREACHABLE,https://www.naqt.com,,,,,fetch failed: 403 Forbidden for https://www.naqt.com/
18,United States Academic Decathlon,academic-bowl,HOMEPAGE,https://www.usad.org,https://www.usad.org/,,eligibility rules grade-band plausible-year,donate about-us,
19,National YoungArts Foundation,arts-music,PROGRAM,https://youngarts.org/competition,https://youngarts.org/competition/,,deadline how-to-enter grade-band plausible-year,donate about-us careers annual-report,
20,DECA International Career Development Conference,business-entrepreneurship,PROGRAM,https://www.deca.org/compete,https://www.deca.org/compete,,rules submission qualifying grade-band plausible-year,donate membership about-us newsroom annual-report,
21,FBLA National Leadership Conference,business-entrepreneurship,PROGRAM,https://www.fbla.org/high-school/competitive-events,https://www.fbla.org/high-school/competitive-events/,,registration rules qualifying grade-band plausible-year,donate membership about-us governance careers newsroom,
22,National High School Mock Trial Championship,debate-speech,THIN,https://www.nationalmocktrial.org/rules/rules-competition,https://www.nationalmocktrial.org/rules/rules-competition,,submission grade-band plausible-year,governance,
23,National History Day,history-geography-civics,PROGRAM,https://nhd.org/en/contest/national-contest,https://nhd.org/en/contest/national-contest/,,registration rules grade-band plausible-year,donate careers newsroom,
24,Math Olympiads for Elementary and Middle Schools (MOEMS),math,PROGRAM,https://www.moems.org/pages/contests-tournaments,https://www.moems.org/pages/contests-tournaments,,registration deadline grade-band plausible-year,about-us governance,
25,Math Prize for Girls,math,PROGRAM,https://mathprize.atfoundation.org/apply,https://mathprize.atfoundation.org/apply,,deadline eligibility how-to-enter submission qualifying grade-band plausible-year,donate about-us,
26,3M Young Scientist Challenge,science-engineering,HOMEPAGE,https://www.youngscientistlab.com,https://youngscientistlab.com/,,submission grade-band plausible-year,newsroom,
27,National Science Bowl,science-engineering,PROGRAM,https://science.osti.gov/wdts/nsb,https://science.osti.gov/wdts/nsb,,deadline dates-block grade-band plausible-year,careers,
28,Thermo Fisher Scientific Junior Innovators Challenge,science-engineering,PROGRAM,https://www.societyforscience.org/jic,https://www.societyforscience.org/jic/,,eligibility how-to-enter dates-block rules submission grade-band plausible-year,donate about-us newsroom annual-report,
29,UIL Academics,academic-bowl,PROGRAM,https://www.uiltexas.org/academics,https://www.uiltexas.org/academics,,registration deadline eligibility rules submission grade-band plausible-year,membership newsroom,
30,Doodle for Google,arts-music,PROGRAM,https://doodles.google.com/intl/ALL_in/d4g/rules/,https://doodles.google.com/intl/ALL_in/d4g/rules/,,deadline eligibility how-to-enter rules submission,,
31,FFA Career Development Events,other,PROGRAM,https://www.ffa.org/participate/cdes/,https://www.ffa.org/participate/cde-lde/,,dates-block rules submission plausible-year,donate membership about-us careers,
32,CSPA Crown & Gold Circle Awards,arts-music,PROGRAM,https://precollege.sps.columbia.edu/columbia-scholastic-press-association,https://precollege.sps.columbia.edu/columbia-scholastic-press-association,,deadline dates-block grade-band plausible-year,membership governance,
33,JEA National Student Media Contests,arts-music,PROGRAM,https://jea.org/contests/,https://jea.org/contests/,,registration deadline eligibility fee dates-block rules submission grade-band plausible-year,donate membership about-us,
34,America's Battle of the Books,academic-bowl,HOMEPAGE,https://www.battleofthebooks.org,https://www.battleofthebooks.org/,,plausible-year,donate membership,
35,Breakthrough Junior Challenge,science-engineering,PROGRAM,https://breakthroughjuniorchallenge.org/enter,https://breakthroughjuniorchallenge.org/enter,,deadline eligibility submission plausible-year,,
36,International Thespian Excellence Awards (Thespys),arts-music,PROGRAM,https://schooltheatre.org/thespys,https://schooltheatre.org/thespys/,,how-to-enter qualifying grade-band plausible-year,donate membership about-us annual-report,
37,Lincoln-Douglas Debate,debate-speech,HOMEPAGE,https://www.speechanddebate.org,https://www.speechanddebate.org/,,qualifying grade-band,donate membership newsroom,
38,American Regions Mathematics League (ARML),math,HOMEPAGE,https://www.arml.com,https://www.arml.com/,,,,
39,Harvard-MIT Mathematics Tournament (HMMT),math,PROGRAM,https://www.hmmt.org/www/tournaments/novfeb,https://www.hmmt.org/www/tournaments/novfeb,,registration deadline eligibility grade-band,about-us,
40,National Merit Scholarship Program,other,UNREACHABLE,https://www.nationalmerit.org,,,,,too many redirects (>5) fetching https://www.nationalmerit.org
41,Diamond Challenge,business-entrepreneurship,PROGRAM,https://diamondchallenge.org/competition,https://diamondchallenge.org/competition/,,deadline eligibility rules submission qualifying grade-band plausible-year,governance,
42,Technovation Girls,computer-science,UNREACHABLE,https://www.technovation.org,,,,,robots.txt disallows fetching https://www.technovation.org/ for our user-agent
43,picoCTF,computer-science,HOMEPAGE,https://picoctf.org,https://picoctf.org/,,plausible-year,,
44,National Civics Bee,history-geography-civics,THIN,https://www.civicsbee.org,https://civics.uschamberfoundation.org/national-civics-bee/?utm_source=www.civicsbee.org&utm_medium=referral,,plausible-year,donate about-us,
45,The New York Times Learning Network Contests,writing-essay,THIN,https://www.nytimes.com/spotlight/learning-contests,https://www.nytimes.com/spotlight/learning-contests,,dates-block submission plausible-year,careers,
46,TSA National Conference Competitive Events,other,PROGRAM,https://tsaweb.org/competitions,https://tsaweb.org/competitions,,eligibility rules submission qualifying grade-band plausible-year,,
47,STN Nationals & Challenges,arts-music,PROGRAM,https://www.studenttelevision.com/nationals,https://www.studenttelevision.com/nationals,,registration deadline dates-block rules submission plausible-year,membership about-us governance,
48,Greenhill Fall Classic,debate-speech,PROGRAM,https://greenhill.tabroom.com,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=40192,,registration deadline rules qualifying plausible-year,membership,
49,Destination Imagination,other,PROGRAM,https://www.destinationimagination.org/challenge-experience,https://www.destinationimagination.org/challenge-experience/,,registration rules qualifying grade-band plausible-year,donate about-us careers,
50,Odyssey of the Mind,other,PROGRAM,https://odysseyofthemind.com/program-guide,https://odysseyofthemind.com/program-guide/,,registration eligibility dates-block rules qualifying grade-band plausible-year,membership about-us,
51,National Latin Exam,academic-bowl,PROGRAM,https://www.nle.org/registration,https://www.nle.org/registration,,registration deadline submission plausible-year,about-us,
52,National Spanish Examinations,academic-bowl,HOMEPAGE,https://www.nationalspanishexam.org,https://nationalspanishexam.org/,,registration eligibility grade-band plausible-year,about-us governance,
53,Le Grand Concours (National French Contest),academic-bowl,PROGRAM,https://frenchteachers.org/concours/,https://www.frenchteachers.org/nfc-home,,registration eligibility dates-block rules grade-band plausible-year,membership about-us,
54,NSPA Pacemaker & Individual Awards,arts-music,PROGRAM,https://studentpress.org/nspa/,https://studentpress.org/nspa/,,registration deadline grade-band plausible-year,membership governance,
55,Quill and Scroll Writing Visual Multimedia Contest,arts-music,THIN,https://quillandscroll.org/contests/,https://quillandscroll.org/contests/,,eligibility grade-band plausible-year,donate membership,
56,Bands of America Grand National Championships,arts-music,THIN,https://marching.musicforall.org/grandnationals,https://marching.musicforall.org/grandnationals/,,registration plausible-year,donate newsroom,
57,MLH high school hackathons (Local Hack Day),computer-science,HOMEPAGE,https://mlh.io,https://www.mlh.com/,,rules plausible-year,about-us,
58,NCWIT Aspirations in Computing,computer-science,HOMEPAGE,https://www.aspirations.org,https://www.aspirations.org/,,registration grade-band,donate,
59,Purple Comet! Math Meet,math,HOMEPAGE,https://purplecomet.org,https://purplecomet.org/,,registration submission grade-band plausible-year,donate,
60,USA Mathematical Talent Search (USAMTS),math,HOMEPAGE,https://www.usamts.org,https://www.usamts.org/,,registration qualifying grade-band plausible-year,donate,
61,FIRST LEGO League Explore,robotics,UNREACHABLE,https://www.firstinspires.org/robotics/fll/explore,,,,,fetch failed: 404 Not Found for https://www.firstinspires.org/robotics/fll/explore
62,VEX IQ Robotics Competition,robotics,THIN,https://www.vexrobotics.com/iq/competition,https://www.vexrobotics.com/iq/competition,,registration grade-band plausible-year,,
63,C-SPAN StudentCam,writing-essay,HOMEPAGE,https://www.studentcam.org,https://www.studentcam.org/,,deadline rules submission grade-band plausible-year,newsroom,
64,John F. Kennedy Profile in Courage Essay Contest,writing-essay,PROGRAM,https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest,https://www.jfklibrary.org/learn/education/profile-in-courage-essay-contest,,eligibility rules submission grade-band plausible-year,donate membership about-us,
65,FFA Agriscience Fair,science-engineering,THIN,https://www.ffa.org/participate/awards/agriscience-fair/,https://www.ffa.org/participate/awards/agriscience-fair/,,submission plausible-year,donate membership about-us careers,
66,TMSCA Math Contests,math,HOMEPAGE,https://www.tmsca.org,https://www.tmsca.org/,,registration how-to-enter qualifying grade-band plausible-year,membership about-us,
67,Princeton Model Congress,debate-speech,HOMEPAGE,https://princetonmodelcongress.com,https://princetonmodelcongress.com/,,registration deadline plausible-year,,
68,Student World Impact Film Festival (SWIFF),arts-music,HOMEPAGE,https://www.swiff.org,https://www.swiff.org/,,submission plausible-year,,
69,MATHCOUNTS National Math Club,math,PROGRAM,https://www.mathcounts.org/programs/national-math-club,https://www.mathcounts.org/programs/national-math-club,,registration deadline grade-band plausible-year,donate governance,
70,MUNUC (Model United Nations of the University of Chicago),debate-speech,HOMEPAGE,https://munuc.org,https://munuc.org/,,registration dates-block grade-band plausible-year,about-us,
71,Write the World Monthly Competitions,writing-essay,HOMEPAGE,https://writetheworld.org,https://writetheworld.org/,,,,
72,PACE National Scholastic Championship (NSC),academic-bowl,HOMEPAGE,https://www.pace-nsc.org,https://www.pace-nsc.org/,,registration deadline rules qualifying grade-band plausible-year,donate membership newsroom,
73,Congressional Art Competition,arts-music,PROGRAM,https://www.house.gov/educators-and-students/congressional-art-competition,https://www.house.gov/educators-and-students/congressional-art-competition,,deadline how-to-enter grade-band plausible-year,,
74,Essentially Ellington High School Jazz Competition,arts-music,UNREACHABLE,https://academy.jazz.org/ee,,,,,ENOTFOUND (fetch failed)
75,Music Teachers National Association (MTNA) Competitions,arts-music,UNREACHABLE,https://www.mtna.org/competitions,,,,,fetch failed: 404 Not Found for https://www.mtna.org/competitions
76,NAfME All-National Honor Ensembles,arts-music,UNREACHABLE,https://nafme.org/programs/all-national-honor-ensembles,,,,,fetch failed: 403 Forbidden for https://nafme.org/programs/all-national-honor-ensembles
77,PTA Reflections Program,arts-music,PROGRAM,https://www.pta.org/home/programs/reflections,https://www.pta.org/home/programs/reflections,,registration how-to-enter rules grade-band plausible-year,donate membership governance careers newsroom,
78,Business Professionals of America (BPA) NLC,business-entrepreneurship,HOMEPAGE,https://bpa.org,https://bpa.org/,,registration deadline eligibility dates-block rules plausible-year,donate membership about-us newsroom,
79,FCCLA National Leadership Conference,business-entrepreneurship,HOMEPAGE,https://fcclainc.org,https://fcclainc.org/,,registration deadline rules plausible-year,donate about-us careers newsroom,
80,JA Titan,business-entrepreneurship,THIN,https://jausa.ja.org/programs/ja-titan,https://jausa.ja.org/programs/ja-titan,,rules grade-band,donate newsroom,
81,National Economics Challenge,business-entrepreneurship,THIN,https://www.councilforeconed.org/national-economics-challenge,https://www.councilforeconed.org/programs/for-students/national-economic-challenge/,,grade-band plausible-year,donate governance careers newsroom,
82,National ProStart Invitational,business-entrepreneurship,THIN,https://chooserestaurants.org/events/national-prostart-invitational,https://chooserestaurants.org/events/national-prostart-invitational/,,registration plausible-year,donate careers,
83,SkillsUSA Championships,business-entrepreneurship,HOMEPAGE,https://www.skillsusa.org,https://www.skillsusa.org/,,registration grade-band plausible-year,donate about-us careers annual-report,
84,The Stock Market Game,business-entrepreneurship,HOMEPAGE,https://www.stockmarketgame.org,https://www.stockmarketgame.org/,,registration dates-block grade-band plausible-year,donate,
85,Wharton Global Youth Investment Competition,business-entrepreneurship,HOMEPAGE,https://globalyouth.wharton.upenn.edu,https://globalyouth.wharton.upenn.edu/,,registration rules grade-band plausible-year,about-us annual-report,
86,American Computer Science League (ACSL),computer-science,HOMEPAGE,https://www.acsl.org,https://www.acsl.org/,,registration submission grade-band plausible-year,,
87,National High School Model United Nations (NHSMUN),debate-speech,THIN,https://www.imuna.org/nhsmun,https://www.imuna.org/nhsmun/,,plausible-year,about-us,
88,Cayley/Pascal/Fermat (CEMC) US sittings,math,PROGRAM,https://www.cemc.uwaterloo.ca/contests,https://cemc.uwaterloo.ca/contests,,registration deadline dates-block grade-band plausible-year,about-us careers,
89,Continental Mathematics League,math,UNREACHABLE,https://www.continentalmathematicsleague.com,,,,,ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR (fetch failed)
90,Math League,math,HOMEPAGE,https://www.mathleague.com,https://www.mathleague.com/,,registration eligibility qualifying grade-band plausible-year,,
91,MathWorks Math Modeling (M3) Challenge,math,HOMEPAGE,https://m3challenge.siam.org,https://m3challenge.siam.org/,,registration eligibility dates-block rules grade-band plausible-year,about-us newsroom,
92,Noetic Learning Math Contest,math,PROGRAM,https://www.noetic-learning.com/mathcontest,https://www.noetic-learning.com/mathcontest/,,registration fee how-to-enter dates-block grade-band plausible-year,,
93,Davidson Fellows Scholarship,other,PROGRAM,https://www.davidsongifted.org/fellows-scholarship,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,,deadline eligibility how-to-enter submission plausible-year,donate about-us,
94,Samsung Solve for Tomorrow,other,PROGRAM,https://www.samsung.com/us/solvefortomorrow,https://www.samsung.com/us/solvefortomorrow/,,registration eligibility submission grade-band plausible-year,about-us careers newsroom,
95,US Chess National K-12 / Grade Championships,other,HOMEPAGE,https://new.uschess.org,https://new.uschess.org/,,deadline rules grade-band plausible-year,donate membership,
96,Conrad Challenge,science-engineering,HOMEPAGE,https://conrad.spacecenter.org,https://conrad.spacecenter.org/,,deadline plausible-year,careers,
97,Envirothon,science-engineering,HOMEPAGE,https://envirothon.org,https://envirothon.org/,,dates-block grade-band plausible-year,donate about-us newsroom,
98,Future City Competition,science-engineering,HOMEPAGE,https://futurecity.org,https://futurecity.org/,,registration how-to-enter dates-block grade-band plausible-year,donate careers,
99,Genius Olympiad,science-engineering,HOMEPAGE,https://www.geniusolympiad.org,https://geniusolympiad.org/,,registration deadline eligibility rules submission grade-band plausible-year,donate about-us newsroom,
100,HOSA-Future Health Professionals,science-engineering,HOMEPAGE,https://hosa.org,https://hosa.org/,,rules plausible-year,donate governance newsroom,
101,NASA Human Exploration Rover Challenge,science-engineering,PROGRAM,https://www.nasa.gov/learning-resources/nasa-human-exploration-rover-challenge,https://www.nasa.gov/learning-resources/nasa-human-exploration-rover-challenge/,,registration eligibility how-to-enter rules submission grade-band plausible-year,careers,
102,Team America Rocketry Challenge (TARC),science-engineering,HOMEPAGE,https://rocketcontest.org,https://www.rocketrychallenge.org/,,registration how-to-enter rules qualifying grade-band plausible-year,careers newsroom,
103,Toshiba/NSTA ExploraVision,science-engineering,HOMEPAGE,https://www.exploravision.org,https://www.exploravision.org/,,registration grade-band plausible-year,,
104,U.S. National Chemistry Olympiad (USNCO),science-engineering,THIN,https://www.acs.org/education/students/highschool/olympiad.html,https://www.acs.org/education/students/highschool/olympiad.html,,,,
105,U.S. Physics Olympiad (USAPhO),science-engineering,PROGRAM,https://www.aapt.org/physicsteam,https://www.aapt.org/physicsteam/2026/index.cfm,,registration dates-block rules grade-band plausible-year,donate membership newsroom annual-report,
106,USA Biology Olympiad (USABO),science-engineering,PROGRAM,https://www.usabo-trc.org,https://usabo-trc.org/,,registration eligibility fee rules grade-band plausible-year,,
107,eCYBERMISSION,science-engineering,HOMEPAGE,https://www.ecybermission.com,https://www.ecybermission.com/,,registration how-to-enter dates-block submission plausible-year,careers,
108,John Locke Institute Essay Competition,writing-essay,PROGRAM,https://www.johnlockeinstitute.com/essay-competition,https://www.johnlockeinstitute.com/essay-competition,,registration deadline eligibility fee dates-block submission plausible-year,careers,
109,Poetry Out Loud,writing-essay,HOMEPAGE,https://www.poetryoutloud.org,https://poetryoutloud.org/,,eligibility dates-block grade-band plausible-year,about-us,
110,National Beta Club Convention Competitions,other,THIN,https://www.betaclub.org/national-convention-info/,https://www.betaclub.org/national-convention-info/,,plausible-year,donate membership about-us,
111,MIT THINK Scholars Program,science-engineering,HOMEPAGE,https://think.mit.edu,https://think.mit.edu/,,,,
112,Exeter Math Club Competition (EMCC),math,THIN,https://exetermathclub.com/contest,https://exetermathclub.com/contest,,,,
113,August Wilson New Voices Monologue Competition,arts-music,THIN,https://truecolorstheatre.org/august-wilson-monologue-competition/,https://truecolorstheatre.org/august-wilson-monologue-competition/,,grade-band plausible-year,donate about-us,
114,Educators Rising National Conference Competitions,other,THIN,https://educatorsrising.org/conference-competitions/,https://educatorsrising.org/conference-competitions/,,plausible-year,donate membership about-us governance careers,
115,LifeSmarts,business-entrepreneurship,HOMEPAGE,https://lifesmarts.org,https://lifesmarts.org/,,registration plausible-year,donate,
116,Math Open at Andover (MOAA),math,HOMEPAGE,https://andovermathopen.com,https://andovermathopen.com/,,registration grade-band plausible-year,,
117,Princeton Model United Nations Conference (PMUNC),debate-speech,THIN,https://www.princetonirc.com/pmunc,https://www.princetonirc.com/pmunc,,registration grade-band plausible-year,,
118,Boston Invitational Model United Nations (BosMUN),debate-speech,HOMEPAGE,https://www.bosmun.org,https://www.bosmun.org/,,registration deadline grade-band plausible-year,,
119,Stanford Model United Nations Conference (SMUNC),debate-speech,HOMEPAGE,https://smunc.org,https://smunc.org/,,registration plausible-year,about-us,
120,New York City Invitational Debate and Speech Tournament,debate-speech,THIN,https://nyc.tabroom.com,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=39028,,registration deadline plausible-year,,
121,Vocabulary Bowl,academic-bowl,PROGRAM,https://www.vocabulary.com/bowl/,https://www.vocabulary.com/bowl/,,registration eligibility grade-band plausible-year,about-us newsroom,
122,National German Exam,academic-bowl,PROGRAM,https://www.nge.aatg.org,https://www.nge.aatg.org/,,registration eligibility rules qualifying grade-band plausible-year,,
123,National Italian Exam,academic-bowl,PROGRAM,https://www.nationalitalianexam.org,https://www.nationalitalianexam.org/,,registration eligibility how-to-enter rules grade-band plausible-year,about-us,
124,NSS Gerard K. O'Neill Space Settlement Contest,science-engineering,THIN,https://nss.org/nss-space-settlement-contest/,https://nss.org/nss-space-settlement-contest/,,plausible-year,donate membership about-us newsroom,
125,Mustang Math Tournament (MMT),math,THIN,https://www.mustangmath.com/MMT2026,https://www.mustangmath.com/MMT2026,,registration grade-band plausible-year,,
126,Stanford Invitational (speech & debate),debate-speech,THIN,https://stanford.tabroom.com,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=40749,,registration plausible-year,,
127,Sala and Aron Samueli Holocaust Art & Writing Contest,writing-essay,PROGRAM,https://www.chapman.edu/research/institutes-and-centers/holocaust-education/holocaust-art-and-writing-contest/index.aspx,https://www.chapman.edu/research/institutes-and-centers/holocaust-education/holocaust-art-and-writing-contest/index.aspx,,registration deadline eligibility dates-block submission plausible-year,newsroom,
128,Harvard Model United Nations,debate-speech,HOMEPAGE,https://www.harvardmun.org,https://www.harvardmun.org/,,registration grade-band plausible-year,about-us,
129,Harvard National Forensics Tournament,debate-speech,HOMEPAGE,https://www.hnft.org,https://www.hnft.org/,,,,
130,Tournament of Champions (Debate),debate-speech,HOMEPAGE,https://www.tournamentofchampions.org,https://tournamentofchampions.org/,,,,
131,Berkeley Math Tournament (BMT),math,HOMEPAGE,https://bmt.berkeley.edu,https://berkeley.mt/,,registration deadline grade-band plausible-year,,
132,Carnegie Mellon Informatics and Mathematics Competition (CMIMC),math,UNREACHABLE,https://cmimc.ai,,,,,ENOTFOUND (fetch failed)
133,Mu Alpha Theta National Convention,math,HOMEPAGE,https://mualphatheta.org,https://mualphatheta.org/,,dates-block grade-band plausible-year,about-us careers,
134,Princeton University Mathematics Competition (PUMaC),math,HOMEPAGE,https://pumac.princeton.edu,https://pumac.princeton.edu/,,registration plausible-year,about-us,
135,Stanford Math Tournament (SMT),math,THIN,https://sumo.stanford.edu/smt,https://sumo.stanford.edu/smt/,,registration rules grade-band,,
136,NASA Student Launch,science-engineering,PROGRAM,https://www.nasa.gov/learning-resources/nasa-student-launch/,https://www.nasa.gov/learning-resources/nasa-student-launch/,,registration eligibility how-to-enter rules qualifying grade-band plausible-year,careers,
137,NFTE World Series of Innovation,business-entrepreneurship,THIN,https://www.nfte.com/world-series-of-innovation,https://nfte.com/events/world-series-of-innovation/,,eligibility plausible-year,careers,
138,Coolest Projects,computer-science,HOMEPAGE,https://coolestprojects.org,https://online.coolestprojects.org/,,registration plausible-year,about-us,
139,Hack Club / Scrapyard hackathons,computer-science,HOMEPAGE,https://hackclub.com,https://hackclub.com/,,grade-band plausible-year,donate,
140,World Scholar's Cup,other,HOMEPAGE,https://www.scholarscup.org,https://www.scholarscup.org/,,registration plausible-year,about-us,
141,BEST Robotics,robotics,HOMEPAGE,https://www.bestrobotics.org,https://bestrobotics.org/,,registration plausible-year,donate about-us annual-report,
142,MATE ROV Competition,robotics,UNREACHABLE,https://materovcompetition.org,,,,,fetch failed: 404 Not Found for https://materovcompetition.org/
143,REC Foundation Aerial Drone Competition,robotics,PROGRAM,https://www.recf.org/aerial-drone-competition,https://recf.org/teams/competition/aerial-drone-competition/,,registration rules qualifying plausible-year,donate about-us careers,
144,The Concord Review,writing-essay,HOMEPAGE,https://www.tcr.org,https://www.tcr.org/,,submission,donate membership,
145,VFW Patriot's Pen,writing-essay,THIN,https://www.vfw.org/community/youth-and-education/youth-scholarships,https://www.vfw.org/community/youth-and-education/youth-scholarships,,eligibility grade-band plausible-year,donate membership about-us careers,
146,HiMCM (High School Mathematical Contest in Modeling),math,THIN,https://www.contest.comap.org/highschool/contests/himcm/index.html,https://www.contest.comap.org/highschool/contests/himcm/index.html,,registration grade-band plausible-year,,
147,AAN Neuroscience Research Prize,science-engineering,PROGRAM,https://www.aan.com/research/neuroscience-research-prize,https://www.aan.com/research/neuroscience-research-prize,,registration deadline eligibility rules grade-band plausible-year,donate membership,
148,Florida Association of Mu Alpha Theta (FAMAT),math,HOMEPAGE,https://famat.org,https://famat.org/,,plausible-year,newsroom,
149,PerennialMath Competitions,math,HOMEPAGE,https://perennialmath.com,https://perennialmath.com/,,plausible-year,about-us newsroom,
150,Columbia Model UN Conference and Exposition (CMUNCE),debate-speech,UNREACHABLE,https://cmunce.org,,,,,EAI_AGAIN (fetch failed)
151,Heart of Texas Invitational,debate-speech,THIN,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=35840,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=35840,,registration deadline plausible-year,,
152,National Young Composers Challenge,arts-music,HOMEPAGE,https://www.youngcomposerschallenge.org,https://www.youngcomposerschallenge.org/,,registration rules submission plausible-year,donate,
153,One Teen Story Teen Writing Contest,writing-essay,PROGRAM,https://one-story.com/write/one-teen-story-contest/,https://one-story.com/write/one-teen-story-contest/,,deadline fee rules submission plausible-year,,
154,Helen Ruffin Reading Bowl,academic-bowl,HOMEPAGE,https://www.gahrrb.org,https://www.gahrrb.org/,,registration grade-band plausible-year,,
155,mathleague.org contests,math,PROGRAM,https://www.mathleague.org/hsevents.php,https://www.mathleague.org/hsevents.php,,registration eligibility dates-block rules qualifying grade-band plausible-year,about-us,
156,NASA TechRise Student Challenge,science-engineering,THIN,https://www.futureengineers.org/nasatechrise,https://www.futureengineers.org/nasatechrise,,registration rules plausible-year,newsroom,
157,ESU National Shakespeare Competition,debate-speech,PROGRAM,https://www.esuus.org/what-we-do/shakespeare-competition/,https://www.esuus.org/what-we-do/shakespeare-competition/,,registration deadline dates-block grade-band plausible-year,donate membership about-us governance careers newsroom,
158,BMUN (Berkeley Model United Nations),debate-speech,HOMEPAGE,https://www.bmun.org,https://www.bmun.org/,,registration grade-band plausible-year,donate about-us,
159,The Paradigm Challenge,other,PROGRAM,https://www.projectparadigm.org,https://www.projectparadigm.org/,,registration deadline how-to-enter submission grade-band plausible-year,about-us,
160,Girls' Adventures in Math (GAIM),math,THIN,https://www.girlsadventuresinmath.com/the-competition,https://www.girlsadventuresinmath.com/the-competition,,registration grade-band plausible-year,,
161,Minnesota State High School Mathematics League,math,UNREACHABLE,https://www.mnmathleague.org,,,,,UND_ERR_CONNECT_TIMEOUT (fetch failed)
162,Virginia Model United Nations (VAMUN),debate-speech,HOMEPAGE,https://www.vamun.org,https://www.vamun.org/,,registration plausible-year,,
163,Just Poetry National High School Poetry Contest,writing-essay,HOMEPAGE,https://www.highschoolpoetrycontest.com,https://www.highschoolpoetrycontest.com/,,submission grade-band plausible-year,about-us,
164,Academic WorldQuest,academic-bowl,THIN,https://worldaffairscouncils.org/what-we-do/academic-worldquest,https://worldaffairscouncils.org/what-we-do/academic-worldquest/,,registration grade-band plausible-year,donate membership about-us governance annual-report,
165,All American High School Film Festival,arts-music,HOMEPAGE,https://www.hsfilmfest.com,https://www.hsfilmfest.com/,,grade-band plausible-year,about-us,
166,Sphinx Competition (Junior Division),arts-music,THIN,https://www.sphinxmusic.org/sphinx-competition,https://www.sphinxmusic.org/sphinx-competition,,deadline eligibility plausible-year,donate,
